name,symbol,price,day,time,date,minute
Avino Silver and Gold Mines Ltd,ASM,1.0070000000000001,Thursday,12:43,20200924,1242
Aimia Inc,AIM,2.0501,Thursday,12:43,20200924,1242
Anglo Pacific Group Plc,APY,10.34,Thursday,12:43,20200924,1242
Auryn Resources Inc,AUG,1.9343,Thursday,12:43,20200924,1242
Atrium Mortgage Investment Corp,AI,2.65,Thursday,12:43,20200924,1242
Aphria Inc,APHA,4.28,Thursday,12:43,20200924,1242
Agjunction Inc,AJX,9.16,Thursday,12:43,20200924,1242
Aurora Cannabis Inc,ACB,5.21,Thursday,12:43,20200924,1242
Apollo Healthcare Corp.,AHC,1.375,Thursday,12:43,20200924,1242
Intellipharmaceutics International Inc,IPCI,0.2106,Thursday,12:43,20200924,1242
Imperial Metals Corp,III,2.022,Thursday,12:43,20200924,1242
Intertape Polymer,ITP,0.4776,Thursday,12:43,20200924,1242
Alexco Resource Corp,AXU,2.7,Thursday,12:43,20200924,1242
Industrial Alliance Ins & Fin Srv Inc,IAG,3.77,Thursday,12:43,20200924,1242
CI First Asset European Bank ETF,FHB,14.6,Thursday,12:43,20200924,1242
Imv Inc.,IMV,4.32,Thursday,12:43,20200924,1242
Franklin Libertyqt Intl Eqt Index ETF,FLDM,7.22,Thursday,12:43,20200924,1242
First Mining Gold Corp,FF,11.49,Thursday,12:43,20200924,1242
Imperial Oil,IMO,12.6,Thursday,12:43,20200924,1242
Ishares 1-10 Yr Laddered Corp Bond ETF,CBH,8.99,Thursday,12:43,20200924,1242
Evolve Automobile Innovation Idx Hgd ETF,CARS,7.79,Thursday,12:43,20200924,1242
CI First Asset Shrt Term Govt Bond Indx,FGB,2.3473,Thursday,12:43,20200924,1242
Chesswood Group Limited,CHW,7.92,Thursday,12:43,20200924,1242
Cameco Corp,CCO,0.93,Thursday,12:43,20200924,1242
Fortune Mnrl J,FT,6.83,Thursday,12:43,20200924,1242
CI Financial Corp,CIX,13.77,Thursday,12:43,20200924,1242
CIBC Global Growth ETF,CGLO,4.96,Thursday,12:43,20200924,1242
BMO Global Communications Index ETF,COMM,8.39,Thursday,12:43,20200924,1242
Capstone Mining Corp,CS,9.62,Thursday,12:43,20200924,1242
Clearwater Seafoods Incorporated,CLR,12.71,Thursday,12:43,20200924,1242
CI Marret Alternative Enhanced Yield ETF,CMEY,0.0001,Thursday,12:43,20200924,1242
Cae Inc,CAE,14.05,Thursday,12:43,20200924,1242
CI Global Real Asset Private Pool ETF,CGRA,0.0035,Thursday,12:43,20200924,1242
Champion Iron Limited,CIA,5.31,Thursday,12:43,20200924,1242
Canarc Res J,CCM,2.0,Thursday,12:43,20200924,1242
Celestica Inc Sv,CLS,7.05,Thursday,12:43,20200924,1242
